ID;Name;created_at;Salary
42485e3a-0a5d-4f34-abaa-9455e3e70682;Katelyn Hull;1990-08-22T21:05:08;6311.97
37ebdcd9-e87a-4613-a443-df789558867f;Diane Campos;2012-01-30T15:28:30;7808.45
9a164106-cf6a-459e-b486-2b21fb97d435;Emily Blair;2016-07-18T12:18:29;4104.68
6f25e2a2-5a92-4187-99c7-8df48f4ff31e;Martin Harris;2007-08-08T01:12:34;5409.6
0ff18e02-42af-4fc3-8577-6e9add84f39e;Kimberly Smith;2018-12-23T08:33:58;7815.56
a0116be5-ab0c-4681-88f8-e3d0d3290a4c;Johnny Dillon;1986-08-07T10:30:13;6534.9
eac1c14f-30e9-45cc-901f-bcccded733e8;Cynthia Ponce;2024-08-28T03:13:02;5328.9
51ef1922-fe43-449e-9498-18d11759edc3;Yolanda Burns;1990-07-07T12:00:53;8896.57
552f233a-8c25-466a-9ff3-9849b4e1357d;Kimberly Maynard;2011-01-18T06:14:33;9031.37
98a6416d-1775-436d-b1ea-cd0549a3e80e;Emily Allen;1982-07-07T01:58:02;8965.75
a81ad477-fb36-45b8-9cde-b3e60870e15c;Benjamin Shelton;1978-11-11T17:54:29;3102.23
b306d1a8-e5ee-4c76-948b-2758d7ab7928;Kimberly Myers;2017-12-29T21:56:08;2450.4
d977e993-3c49-476f-8fc6-e62585940927;Michael Bryan;1998-07-17T19:42:24;8594.35
a425799a-a905-4750-be1e-a9c573581a81;Sydney Leon MD;2011-09-13T19:21:39;9497.35
d8570102-55d4-4936-a151-5607964a870c;Alan Nelson;2017-12-31T03:35:32;1889.62
6d16ee18-5521-46dd-aba4-b180cb69ca38;Ashlee Thomas;2017-06-23T16:44:51;3612.47
e8f6cf32-a25b-49fd-92e8-e269d12ecbc4;Lindsey Jones;1978-06-21T01:34:17;3584.5
64264cd5-1ea4-4cd6-9371-a71fd480865f;Roy Wilson;2011-03-16T21:18:26;3088.77
b7d6467b-2f5a-422a-b87f-43fdf6062541;Daniel Owen;2016-03-25T06:23:22;354.24
d5fdb76a-19fb-4b1d-9edf-a3da6cf55b15;Daniel Lucas;1993-11-02T14:29:32;373.69
0a14b90a-7795-4986-80ee-526e0fa07a3f;Melissa Myers;1987-09-14T15:31:46;7144.23
eb21a3f6-e6fd-48e8-969c-91c278601602;Melissa Harris;2022-03-21T13:06:59;5874.93
57a1cb71-2975-4279-986d-bf1128805c5d;Autumn Morse;2015-04-18T17:20:21;951.86
e66cd36e-68ef-4f5f-ae68-690a78bc7175;Katie Collins;1994-04-22T01:16:35;2864.1
b0d9c2aa-8f83-4ef7-a746-0f22403d1f83;Patrick Rogers;1973-02-09T19:01:12;6367.84
f40048d7-c31d-4a97-bd79-2fa12284b7a4;Mr. Michael Garza;2013-02-15T21:19:10;8918.35
6a174c1c-bf9c-4545-a355-18f74f6fa985;Angela Wheeler;2017-07-16T08:48:23;2168.91
72b8ff39-a32c-4b6f-b91c-f0463d4a5d51;Shawn Carroll;1998-03-15T03:02:46;5478.2
6b10e53a-9145-4e05-b3ab-1b2cdf26f517;Michelle Martin;1974-05-07T21:40:05;516.51
e28bc9ff-870f-484c-b244-f536285e25b4;Mr. Pedro Henson;2003-08-28T22:03:19;4247.89
cf1da110-0cc3-4d8c-b786-3fe5d675ebf7;Valerie Perry;2007-05-01T14:00:59;5340.39
66dd7794-03c5-4c71-bca0-55362169df82;Jennifer Smith;1970-12-22T05:06:04;1367.92
30c1fb6a-1908-4515-9cb0-17c18741ae91;Matthew Russo;1989-01-20T00:12:43;38.86
658de17e-ec3a-4314-9a9b-b01779c147c7;Alison Sloan;2024-06-05T17:55:52;2985.12
d138d150-8557-416a-a750-2a812227d96d;Hannah Wiggins;1988-12-11T21:55:27;1896.32
4279b14d-ae55-4dff-b4ab-18fd0a68e88e;Theresa Mays;1972-11-10T00:40:38;304.5
e7180322-a4e6-45c9-b65d-12267e969cf3;Jeffrey Savage;1982-02-18T09:07:28;9954.83
2371ea2c-0247-445f-8a81-4d53964ddb77;Gavin Clarke;2018-11-23T09:36:14;3405.48
0a8c46c7-0921-4f4f-9edb-95f2c787ddfb;Chase Silva;1994-07-24T09:10:51;1535.43
7a62722e-1d69-49fc-8b1c-b8bd2130260c;Taylor Parker;2005-08-05T11:36:52;6468.7
4c9a0ae1-5419-4efc-95e7-3e3f673617d9;Brett Kerr;2002-04-04T10:47:16;1161.38
b318ad4c-1db2-4452-baa5-6a181fd3c017;Mr. George Mcdaniel Jr.;1981-05-02T18:37:47;5522.43
a38d8afc-fdd2-4d7a-b97c-cc57ce5dc807;Robert Gonzalez;1985-01-16T10:39:54;9248.48
8e751eb7-64d0-4913-991b-8adf0202861c;Joan Burns;2009-10-20T11:41:58;1001.49
fd0ba70e-385a-4463-9e4a-f862156af458;Ms. Carol Lee MD;2017-10-09T09:47:23;3559.54
33a1d1c2-ad4a-4155-809f-cd8f739cd488;James Clark;1972-11-12T10:28:42;452.67
755a3ac1-32ae-4a20-9ac9-02ee25777cf0;Joshua Hernandez;2010-07-29T15:17:47;3537.79
ae0fdbc8-a36b-4b01-a7e9-8363905c053b;Joseph Shelton;1991-12-11T19:04:00;7993.18
33b5b3ce-dfec-4623-ab89-9605a2939b3b;Tara Smith;2018-01-06T15:03:24;8166.63
dfde2281-25fb-4f3d-866d-7002091472ad;Richard Kirby;2009-09-02T06:08:07;5214.41
10fce97d-786e-40ef-8e9b-2e70b4d4dfcc;Kellie Sexton;1974-07-08T06:06:47;4823.91
c2472fd6-03e9-4a02-8cea-2df00a66dc4e;Erin Martin;1980-02-16T22:17:00;3687.16
87a1798f-e6ad-4d9e-a1d9-fe398147a8f4;Laura Gregory;2005-04-01T22:03:14;7548.47
c12ea9b8-e7e1-4ed8-ad26-5dd8bf391fbb;Joseph George;2002-10-25T11:35:33;9832.9
dd620222-d9ef-428b-bbcb-50b3961d8dcf;Mary Smith;1982-05-20T20:41:25;6366.77
10cc8711-552a-45ca-8124-405b91fcfe88;Dennis Bryan DDS;1996-02-22T08:12:09;4955.64
209818d1-ef7e-45ec-a417-956f29ee7f3d;Nicholas Cook;1972-06-12T03:22:03;6286.7
dd02e100-e3d4-4408-bde8-a2342412579d;Angela Hale;1994-01-03T04:35:46;7886.53
7579501a-62fd-4854-b75e-0ec39c9d03f3;John Hernandez;1972-03-17T22:24:12;6736.4
1af4787f-52eb-4ac5-a145-789921f8c156;Mariah Lee;2023-04-24T22:25:31;9802.79
b368c553-9c30-4eaa-8f66-b32de19b5837;Mark Morgan;1978-06-18T02:01:39;8033.14
cca1a034-633c-4f79-a96a-a1aff55e3aa2;Patrick Rosario;1978-04-10T04:49:56;4855.16
71cff814-645b-4776-8838-a14509c67417;Connor Kelly;2013-01-03T18:41:05;8503.24
7c7550f2-0a3c-4c6f-af2d-9a38e6e4b8df;Alexander Meyer;2008-09-26T22:52:48;1234.5
d1c3d1bc-c6be-4432-97ee-0eb03acaaf82;Lori Shaw;2005-08-21T22:05:53;9368.27
254bf7ae-1d0a-4994-b20b-575d4e28e674;Keith Livingston;1977-02-16T22:31:49;6883.64
27f9e728-c618-4c1e-aa48-05421965e435;Amanda Griffin;2016-09-17T00:20:52;6809.8
f655860b-dd32-4231-ab56-16997f22cd12;David Gomez;1978-04-05T20:47:48;6832.3
2d8b5b41-590e-43da-986f-1721078548d7;William Fuentes;1974-10-19T17:23:31;5886.88
a8b56f85-346d-4b7e-80d3-d1af353e0c86;Teresa Martinez;1970-06-28T13:45:37;9774.18
9ad7558f-eecb-425b-864f-768db080e003;Charles Gibson;2002-06-10T06:59:32;4804.47
0726d44a-2152-43c7-821a-a15ef58c43ce;Heidi Kennedy;1989-11-30T09:46:48;5643.9
97d01e70-2f1d-4bef-93b5-3b92a2cb5f38;Ashley Carpenter MD;1979-12-31T21:16:48;4855.7
3c9590d3-3e2a-4d3e-8222-134550de4292;Donna Barnes;1973-02-23T16:35:03;2051.28
b3c161c3-13f2-437c-a4d0-27590542bd75;Jason Pierce;2020-06-01T15:25:49;2166.76
5ac4b6c7-a310-44dd-8c4b-91fe6c148fc6;Jeremy Wood;2006-01-05T12:27:05;2331.75
f642c8f3-6acf-49eb-8228-4fd9689bba65;Erica Harris;1989-12-17T07:12:50;947.48
1bce35d8-cbe8-4a3f-af7a-304ff344c911;Justin Watts;2024-02-23T03:58:44;7715.11
